Entity,Code,Year,cumulative_visits
Russia,RUS,1977,62
Russia,RUS,1978,69
Russia,RUS,1979,72
Russia,RUS,1980,82
Russia,RUS,1981,86
Russia,RUS,1982,92
Russia,RUS,1983,97
Russia,RUS,1984,105
Russia,RUS,1985,110
Russia,RUS,1986,112
Russia,RUS,1987,119
Russia,RUS,1988,124
Russia,RUS,1989,126
Russia,RUS,1990,132
Russia,RUS,1991,136
Russia,RUS,1992,140
Russia,RUS,1993,144
Russia,RUS,1994,151
Russia,RUS,1995,158
Russia,RUS,1996,162
Russia,RUS,1997,168
Russia,RUS,1998,174
Russia,RUS,1999,176
Russia,RUS,2000,183
Russia,RUS,2001,190
Russia,RUS,2002,197
Russia,RUS,2003,199
Russia,RUS,2004,202
Russia,RUS,2005,204
Russia,RUS,2006,206
Russia,RUS,2007,209
Russia,RUS,2008,212
Russia,RUS,2009,216
Russia,RUS,2010,222
Russia,RUS,2011,228
Russia,RUS,2012,234
Russia,RUS,2013,240
Russia,RUS,2014,246
Russia,RUS,2015,251
Russia,RUS,2016,257
Russia,RUS,2017,261
Russia,RUS,2018,264
Russia,RUS,2019,267
Russia,RUS,2020,271
Russia,RUS,2021,273
Saudi Arabia,SAU,1985,1
Slovakia,SVK,1999,1
South Africa,ZAF,2002,1
South Korea,KOR,2008,1
Spain,ESP,1998,1
Spain,ESP,2003,2
Sweden,SWE,2006,1
Sweden,SWE,2009,2
Switzerland,CHE,1992,1
Switzerland,CHE,1993,2
Switzerland,CHE,1996,3
Switzerland,CHE,1999,4
Syria,SYR,1987,1
Ukraine,UKR,1997,1
United Arab Emirates,ARE,2019,1
United Kingdom,GBR,1991,1
United Kingdom,GBR,1992,2
United Kingdom,GBR,1993,3
United Kingdom,GBR,1995,4
United Kingdom,GBR,1997,5
United Kingdom,GBR,1999,6
United Kingdom,GBR,2003,7
United Kingdom,GBR,2015,8
United States,USA,1961,2
United States,USA,1962,5
United States,USA,1963,8
United States,USA,1965,18
United States,USA,1966,28
United States,USA,1968,34
United States,USA,1969,46
United States,USA,1970,49
United States,USA,1971,55
United States,USA,1972,61
United States,USA,1973,70
United States,USA,1975,73
United States,USA,1981,77
United States,USA,1982,85
United States,USA,1983,104
United States,USA,1984,131
United States,USA,1985,183
United States,USA,1986,193
United States,USA,1988,203
United States,USA,1989,228
United States,USA,1990,260
United States,USA,1991,295
United States,USA,1992,340
United States,USA,1993,378
United States,USA,1994,417
United States,USA,1995,455
United States,USA,1996,491
United States,USA,1997,535
United States,USA,1998,562
United States,USA,1999,575
United States,USA,2000,600
United States,USA,2001,633
United States,USA,2002,662
United States,USA,2003,669
United States,USA,2004,674
United States,USA,2005,683
United States,USA,2006,702
United States,USA,2007,721
United States,USA,2008,747
United States,USA,2009,781
United States,USA,2010,804
United States,USA,2011,823
United States,USA,2012,827
United States,USA,2013,831
United States,USA,2014,835
United States,USA,2015,838
United States,USA,2016,842
United States,USA,2017,847
United States,USA,2018,851
United States,USA,2019,855
United States,USA,2020,862
United States,USA,2021,865
Vietnam,VNM,1980,1
World,OWID_WRL,1961,4
World,OWID_WRL,1962,9
World,OWID_WRL,1963,14
World,OWID_WRL,1964,17
World,OWID_WRL,1965,29
World,OWID_WRL,1966,39
World,OWID_WRL,1967,40
World,OWID_WRL,1968,47
World,OWID_WRL,1969,70
World,OWID_WRL,1970,75
World,OWID_WRL,1971,87
World,OWID_WRL,1972,93
World,OWID_WRL,1973,106
World,OWID_WRL,1974,112
World,OWID_WRL,1975,123
World,OWID_WRL,1976,129
World,OWID_WRL,1977,135
World,OWID_WRL,1978,145
World,OWID_WRL,1979,149
World,OWID_WRL,1980,162
World,OWID_WRL,1981,172
World,OWID_WRL,1982,187
World,OWID_WRL,1983,212
World,OWID_WRL,1984,249
World,OWID_WRL,1985,312
World,OWID_WRL,1986,324
World,OWID_WRL,1987,332
World,OWID_WRL,1988,350
World,OWID_WRL,1989,377
World,OWID_WRL,1990,415
World,OWID_WRL,1991,457
World,OWID_WRL,1992,515
World,OWID_WRL,1993,562
World,OWID_WRL,1994,612
World,OWID_WRL,1995,660
World,OWID_WRL,1996,708
World,OWID_WRL,1997,766
World,OWID_WRL,1998,804
World,OWID_WRL,1999,826
World,OWID_WRL,2000,863
World,OWID_WRL,2001,907
World,OWID_WRL,2002,947
World,OWID_WRL,2003,960
World,OWID_WRL,2004,969
World,OWID_WRL,2005,984
World,OWID_WRL,2006,1010
World,OWID_WRL,2007,1036
World,OWID_WRL,2008,1073
World,OWID_WRL,2009,1119
World,OWID_WRL,2010,1150
World,OWID_WRL,2011,1178
World,OWID_WRL,2012,1193
World,OWID_WRL,2013,1208
World,OWID_WRL,2014,1220
World,OWID_WRL,2015,1232
World,OWID_WRL,2016,1246
World,OWID_WRL,2017,1257
World,OWID_WRL,2018,1266
World,OWID_WRL,2019,1275
World,OWID_WRL,2020,1287
World,OWID_WRL,2021,1294
